Shenzhou6               14.7    23.5     8.3  206.42  237.50    6.38    8.84    0.31   93.93 2229.57 -372.64    0.73    0.38  853.10  624.09    0.13
Jinliangyou6510         14.8    25.3     7.9  235.14  217.65    6.90    7.43    0.54   91.23 3131.61 -127.50    0.54    0.40 1263.49  677.99    0.17
Guangliangyou555        14.5    23.2     7.9  220.71  250.00    6.75    6.29    0.41   93.77 2708.79  -77.36    0.50    0.40 1075.94  537.81    0.17
Liangxiangyou66         14.4    23.2     8.3  239.09  243.75    6.81    4.28    0.43   98.30 3207.42 -113.43    0.56    0.38 1218.94  688.11    0.16
Xinliangxiangyou4       14.4    22.1     8.5  230.29  253.33    6.88    8.57    0.46   91.85 2077.22 -242.15    0.72    0.36  751.64  539.34    0.13
Jian65A                 14.4    25.6     8.6  224.14  218.75    6.92    6.29    0.49   94.73 3308.59  -61.71    0.62    0.46 1526.27  950.43    0.20
KyouAG                  14.5    22.6     8.7  226.57  231.25    6.14   13.71    0.51   91.27 2595.93 -418.70    0.76    0.40 1039.60  786.10    0.15
Yangliangyou6           14.8    23.9     8.2  215.57  218.75    6.51   12.57    0.53   93.47 3704.39  -73.77    0.60    0.40 1495.11  903.74    0.17
Liangyou389             14.6    24.9     8.2  232.43  231.25    6.76   15.14    1.13   87.90 3641.42  -92.96    0.67    0.45 1624.02 1086.89    0.21
Chuanjiangyou7          14.9    27.6     7.8  222.86  218.75    6.45    4.57    0.58   93.30 3254.21  -53.34    0.59    0.39 1271.21  757.78    0.17
Cliangyou396            14.7    24.6     8.3  231.67  243.75    6.24    5.99    0.61   92.50 3711.40  -73.15    0.56    0.44 1622.63  912.60    0.21
Shenglong328            14.4    24.8     8.3  243.29  266.67    6.81    8.86    0.54   91.73 3334.37  -65.66    0.54    0.46 1522.08  828.27    0.20
Weiliangyou725          14.4    24.9     8.6  212.29  220.00    6.59    6.00    0.47   93.25 3473.13 -185.29    0.76    0.48 1673.62 1270.78    0.21
Xin2S                   14.6    25.9     8.3  222.43  225.00    6.36   14.57    0.53   93.93 3737.43 -100.90    0.75    0.49 1825.02 1366.24    0.23
Zhan63-4S               14.2    26.2     8.4  221.14  231.25    6.62    9.14    0.62   93.93 3851.44 -107.45    0.67    0.42 1637.73 1088.57    0.19
Boliangyou202           14.4    23.0     8.5  230.67  237.50    6.83    7.13    0.58   93.15 2244.24 -248.16    0.70    0.41  917.95  641.91    0.15
Guangliangyou558        14.4    24.0     8.3  218.71  226.67    6.67   11.71    0.61   92.23 3407.09 -115.77    0.77    0.43 1468.36 1126.19    0.18
Jufengyou40             14.6    23.1     8.4  206.56  220.00    6.86   14.55    0.47   92.30 2870.03 -163.85    0.60    0.40 1154.56  695.11    0.16
Yangliangyou419         14.8    28.0     8.1  223.68  240.00    6.56    9.70    0.64   93.13 4239.00  -62.45    0.65    0.50 2113.91 1384.71    0.25
Huaxiangyou910          14.4    26.8     8.3  225.43  237.50    6.35    8.86    0.63   93.27 3901.67  -48.35    0.61    0.48 1882.45 1142.18    0.24
Xiangyou8015            14.6    26.4     8.3  224.39  231.25    5.84    7.42    0.60   94.30 3271.54  -42.01    0.64    0.45 1487.89  952.19    0.21
Delong1                 14.4    23.0     8.4  238.43  231.25    6.73   11.14    0.54   91.17 2627.58  -92.75    0.55    0.37  958.80  525.60    0.14
Huailiangyou305         14.3    23.3     8.5  234.43  223.53    5.77    8.29    0.51   93.33 2857.85  -59.63    0.55    0.39 1104.62  610.31    0.16
Enuo9                   16.4    11.6     8.0  261.29  256.25    6.27   11.14    0.24   90.83 1784.24 -222.08    0.86    0.37  658.07  565.03    0.12
Ewan15                  15.4    22.1     8.6  233.71  231.25    6.71   12.86    0.63   93.80 2386.31  -85.31    0.67    0.45 1066.35  708.70    0.18
Jinyou207               14.7    25.1     8.4  230.00  225.00    6.71    7.14    0.73   92.00 3915.84 -118.93    0.82    0.46 1825.36 1498.88    0.21
Jinyou38                15.5    24.8     8.5  234.14  229.41    5.61    6.57    0.75   94.87 3739.22  -36.71    0.73    0.47 1749.96 1270.47    0.21
Jinyou928               15.3    22.1     8.5  247.71  241.18    6.77   10.00    0.63   94.53 3312.69 -139.98    0.81    0.45 1477.90 1204.12    0.19
Jinchuyou201            14.7    20.0     8.9  235.86  243.75    6.31   19.14    0.64   89.87 2168.64 -149.11    0.68    0.40  858.12  586.31    0.14
Tianfengyou134          15.0    25.8     8.2  242.71  243.75    6.61   10.57    0.81   92.97 3951.23 -123.28    0.78    0.48 1905.33 1489.41    0.22
